19	600	1.12E-005
20	650	2.24E-005
23	600	1.12E-005
31	1000	1.13E-005
32	1000	1.13E-005
35	1000	1.13E-005
39	650	2.24E-005
40	2500	7.08E-005
41	450	1.58E-005
48	2200	5.01E-005
49	1850	3.00E-007
51	750	4.47E-005
56	650	1.32E-005
59	1000	1.26E-005
60	750	5.01E-006
61	750	5.01E-006
65	1100	4.47E-005
66	900	2.00E-005
68	1000	1.00E-005
70	900	1.58E-005
71	1000	1.13E-005
72	1000	1.13E-005
74	800	3.16E-005
76	1000	1.13E-005
78	1000	1.13E-005
79	700	1.78E-005
80	1000	1.13E-005
81	1800	1.12E-004
82	1000	1.13E-005
83	900	1.58E-005
88	800	2.00E-005
